"","OTU","Sample","Abundance","X.Sample","MeatType","Packaging","SampleOrder","combine","Domain","Phylum","Class","Order","Family","Genus"
"29","Otu0005","BRRG6",30.36255651,"BRRG6","Breast","Regular aerobic",16,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"30","Otu0001","BRMA5",29.44367507,"BRMA5","Breast","Modified atmosphere",35,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"31","Otu0002","BRMA2",28.24258372,"BRMA2","Breast","Modified atmosphere",32,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"32","Otu0001","WHRG8",28.23453265,"WHRG8","Whole chicken","Regular aerobic",28,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"33","Otu0002","BRMA6",27.09109293,"BRMA6","Breast","Modified atmosphere",36,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"34","Otu0001","WHRG6",26.82189695,"WHRG6","Whole chicken","Regular aerobic",26,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"35","Otu0009","BRVA5",26.6520413,"BRVA5","Breast","Vacuum",5,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"36","Otu0002","BRVA7",23.55786964,"BRVA7","Breast","Vacuum",7,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"37","Otu0002","BRVA5",22.95278444,"BRVA5","Breast","Vacuum",5,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"38","Otu0005","BRVA6",22.65402497,"BRVA6","Breast","Vacuum",6,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"39","Otu0001","BRVA7",22.56655,"BRVA7","Breast","Vacuum",7,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"40","Otu0013","BRMA4",20.83382187,"BRMA4","Breast","Modified atmosphere",34,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"41","Otu0013","BRRG4",18.6835795,"BRRG4","Breast","Regular aerobic",14,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"42","Otu0002","BRMA3",18.43377594,"BRMA3","Breast","Modified atmosphere",33,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"43","Otu0002","BRVA3",18.28125491,"BRVA3","Breast","Vacuum",3,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"44","Otu0002","BRMA5",18.02039563,"BRMA5","Breast","Modified atmosphere",35,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"45","Otu0001","BRMA8",17.98653776,"BRMA8","Breast","Modified atmosphere",38,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
